Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
6,Charles Barkley,22,PHI,133,780,0.171,80,54,4,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,7.3,7.9,,,,
7,Sidney Moncrief,28,MIL,56,780,0.072,73,57,3,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,4.6,5.1,,,,
8,Alex English,32,DEN,55,780,0.071,81,47,7,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156,3.2,2.1,,,,
9,Isiah Thomas,24,DET,28,780,0.036,77,46,8,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151,0.8,-0.8,,,,
10,Moses Malone,30,PHI,21,780,0.027,74,54,4,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157,4.3,4,,,,
1,Magic Johnson,27,LAL,733,780,0.94,80,65,1,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,7.4,8.1,,,,
2,Michael Jordan,23,CHI,449,780,0.576,82,40,14,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247,8.8,8.1,,,,
3,Larry Bird,30,BOS,271,780,0.347,74,59,2,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243,8.5,9.2,,,,
4,Kevin McHale,29,BOS,254,780,0.326,77,59,2,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232,5.6,5.2,,,,
5,Dominique Wilkins,27,ATL,128,780,0.164,79,57,3,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197,5.2,4.9,,,,
6,Charles Barkley,23,PHI,113,780,0.145,68,45,8,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21,7.7,9.2,,,,
7,Hakeem Olajuwon,24,HOU,28,780,0.036,75,42,11,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189,6,6.6,,,,
8,Isiah Thomas,25,DET,17,780,0.022,81,52,5,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121,3.8,3,,,,
9,Fat Lever,26,DEN,11,780,0.014,82,37,16,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153,5.9,5.6,,,,
10,Moses Malone,31,WSB,9,780,0.012,73,42,12,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182,2.5,1.9,,,,
1,Michael Jordan,24,CHI,665,800,0.831,82,50,8,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,11.8,12.2,,,,
2,Larry Bird,31,BOS,527,800,0.659,76,57,2,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243,8.1,8.8,,,,
3,Magic Johnson,28,LAL,508,800,0.635,72,62,1,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199,4.9,5.3,,,,
4,Charles Barkley,24,PHI,109,800,0.136,80,36,17,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253,8.7,9,,,,
5,Clyde Drexler,25,POR,86,800,0.108,81,53,6,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207,7.3,7.4,,,,
6,Dominique Wilkins,28,ATL,55,800,0.069,78,50,7,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16,3.7,2.9,,,,
7,Hakeem Olajuwon,25,HOU,40,800,0.05,79,46,10,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182,5,5,,,,
8,Karl Malone,24,UTA,36,800,0.045,82,47,9,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152,3.7,2.5,,,,
9,Fat Lever,27,DEN,26,800,0.033,82,54,3,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163,6.2,6.1,,,,
10,John Stockton,25,UTA,15,800,0.019,82,47,9,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238,4.3,3.9,,,,
1,Magic Johnson,29,LAL,664.5,850,0.782,77,57,3,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267,8.2,9.3,,,,
2,Michael Jordan,25,CHI,598.8,850,0.704,81,47,9,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292,12,12.6,,,,
3,Karl Malone,25,UTA,362,850,0.426,80,51,7,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233,6.5,6.1,,,,
4,Patrick Ewing,26,NYK,200,850,0.235,80,52,6,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181,4.9,4.7,,,,
5,Hakeem Olajuwon,26,HOU,179.3,850,0.211,82,45,12,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197,5.6,5.4,,,,
6,Charles Barkley,25,PHI,94.3,850,0.111,79,46,11,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25,9.2,9.8,,,,
7,John Stockton,26,UTA,28,850,0.033,82,51,7,38.7,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236,5.5,4.8,,,,
8,Kevin Johnson,22,PHO,22,850,0.026,81,55,4,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184,4.5,3.5,,,,
9,Tom Chambers,29,PHO,20,850,0.024,81,55,4,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146,2.4,1.2,,,,
